2025-08-16 09:38:26,798 - __main__ - INFO - Epoch: 29, Train Accuracy: 82.31, Valid Accuracy: 84.52, Test Accuracy: 85.26, Training Time: 263.29s, Valid Time: 13.44s, Testing Time: 14.62s
2025-08-16 09:43:17,764 - __main__ - INFO - Epoch: 30, Train Accuracy: 82.11, Valid Accuracy: 83.88, Test Accuracy: 84.54, Training Time: 262.93s, Valid Time: 13.43s, Testing Time: 14.60s
2025-08-16 09:48:09,034 - __main__ - INFO - Epoch: 31, Train Accuracy: 81.77, Valid Accuracy: 83.59, Test Accuracy: 84.29, Training Time: 263.22s, Valid Time: 13.44s, Testing Time: 14.61s
2025-08-16 09:53:00,093 - __main__ - INFO - Epoch: 32, Train Accuracy: 82.33, Valid Accuracy: 84.83, Test Accuracy: 85.26, Training Time: 263.04s, Valid Time: 13.42s, Testing Time: 14.60s
2025-08-16 09:57:50,931 - __main__ - INFO - Epoch: 33, Train Accuracy: 82.64, Valid Accuracy: 84.92, Test Accuracy: 85.75, Training Time: 262.84s, Valid Time: 13.41s, Testing Time: 14.58s
2025-08-16 10:03:37,356 - __main__ - INFO - Epoch: 34, Train Accuracy: 82.52, Valid Accuracy: 84.39, Test Accuracy: 85.28, Training Time: 262.93s, Valid Time: 13.42s, Testing Time: 14.59s
2025-08-16 10:08:28,961 - __main__ - INFO - Epoch: 35, Train Accuracy: 82.59, Valid Accuracy: 84.25, Test Accuracy: 84.99, Training Time: 263.57s, Valid Time: 13.43s, Testing Time: 14.61s
2025-08-16 10:13:19,999 - __main__ - INFO - Epoch: 36, Train Accuracy: 82.54, Valid Accuracy: 84.39, Test Accuracy: 84.83, Training Time: 263.02s, Valid Time: 13.42s, Testing Time: 14.60s
2025-08-16 10:18:11,290 - __main__ - INFO - Epoch: 37, Train Accuracy: 82.62, Valid Accuracy: 84.50, Test Accuracy: 85.13, Training Time: 263.22s, Valid Time: 13.47s, Testing Time: 14.60s
2025-08-16 10:23:02,469 - __main__ - INFO - Epoch: 38, Train Accuracy: 82.53, Valid Accuracy: 84.28, Test Accuracy: 85.01, Training Time: 263.14s, Valid Time: 13.43s, Testing Time: 14.60s
2025-08-16 10:27:53,578 - __main__ - INFO - Epoch: 39, Train Accuracy: 82.91, Valid Accuracy: 84.54, Test Accuracy: 85.40, Training Time: 263.09s, Valid Time: 13.42s, Testing Time: 14.59s
2025-08-16 10:32:44,872 - __main__ - INFO - Epoch: 40, Train Accuracy: 82.84, Valid Accuracy: 84.61, Test Accuracy: 85.63, Training Time: 263.26s, Valid Time: 13.43s, Testing Time: 14.60s
2025-08-16 10:37:36,372 - __main__ - INFO - Epoch: 41, Train Accuracy: 82.81, Valid Accuracy: 84.50, Test Accuracy: 85.59, Training Time: 263.45s, Valid Time: 13.44s, Testing Time: 14.61s
